年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2023 	15	14 	レッドブルー	波切敦		251	連載		
2023 	15	15 	この漫画のヒロインは守崎あまねです。	ねこぐち		269	連載		
2023 	15	16 	君は008	松江名俊		285	連載		
2023 	15	17 	GOLDEN SPIRAL	福地翼		309	連載		
2023 	15	18 	第九の波濤	草場道輝		327	連載		
2023 	15	19 	九龍城でもう一度	藤田三司		347	連載		
2023 	15	20 	ビグネス参式	勝郎		367	連載		
2023 	15	21 	十勝ひとりぼっち農園	横山裕二		390	連載		
2023 	16	1 	帝乃三姉妹は案外、チョロい	ひらかわあや		8	連載	C	
2023 	16	2 	ラストカルテ―法獣医学者 当麻健匠の記憶―	浅山わかび		29	連載		
2023 	16	3 	MAJOR 2nd	満田拓也		47	連載		
2023 	16	4 	よふかしうのうた	コトヤマ		63	連載		
2023 	16	5 	MAO	高橋留美子		83	連載		
2023 	16	6 	龍と苺	柳本光晴		101	連載		
2023 	16	7 	白山さんと三田さん	くさかべゆうへい		121	連載		
2023 	16	8 	写らナイんです	コシノマルカ		139	読み切り	C	
2023 	16	9 	古見さんは、コミュ症です。	オダトモヒト		175	連載		
2023 	16	10 	舞妓さんちのまかないさん	小山愛子		193	連載		
2023 	16	11 	君と悪いことがしたい	由田果		203	連載		
2023 	16	12 	魔王城でおやすみ	熊之股鍵次		219	連載		
2023 	16	13 	君は008	松江名俊		229	連載		
2023 	16	14 	朱月事変	壱原ちぐさ		251	連載		
2023 	16	15 	レッドブルー	波切敦		269	連載	C	
2023 	16	16 	GOLDEN SPIRAL	福地翼		289	連載		
2023 	16	17 	トニカクカワイイ	畑健二郎		307	連載		
2023 	16	18 	あおざくら 防衛大学校物語	二階堂ヒカル		317	連載		
2023 	16	19 	シブヤニアファミリー	久米田康治		335	連載		
2023 	16	20 	この漫画のヒロインは守崎あまねです。	ねこぐち		347	連載		
2023 	16	21 	九龍城でもう一度	藤田三司		363	連載		
2023 	16	22 	ビグネス参式	勝郎		381	連載		
2023 	16	23 	十勝ひとりぼっち農園	横山裕二		400	連載		
2023 	17	1 	葬送のフリーレン	アベツカサ	山田鐘人	13	連載	C	
2023 	17	2 	MAO	高橋留美子		37	連載		
2023 	17	3 	トニカクカワイイ	畑健二郎		55	連載		
2023 	17	4 	龍と苺	柳本光晴		73	連載		
2023 	17	5 	帝乃三姉妹は案外、チョロい	ひらかわあや		93	連載		
2023 	17	6 	魔王城でおやすみ	熊之股鍵次		111	連載		
2023 	17	7 	よふかしうのうた	コトヤマ		125	連載		
2023 	17	8 	古見さんは、コミュ症です。	オダトモヒト		143	連載		
2023 	17	9 	アンパシフィック	益子リョウヘイ		151	読み切り	C	
2023 	17	10 	白山さんと三田さん	くさかべゆうへい		197	連載		
2023 	17	11 	君は008	松江名俊		215	連載		
2023 	17	12 	君と悪いことがしたい	由田果		237	連載		
2023 	17	13 	レッドブルー	波切敦		255	連載		
2023 	17	14 	シブヤニアファミリー	久米田康治		273	連載		
2023 	17	15 	GOLDEN SPIRAL	福地翼		282	連載	C	
2023 	17	16 	朱月事変	壱原ちぐさ		303	連載		
2023 	17	17 	この漫画のヒロインは守崎あまねです。	ねこぐち		321	連載		
2023 	17	18 	ビグネス参式	勝郎		337	連載		
2023 	17	19 	九龍城でもう一度	藤田三司		355	連載		
2023 	17	20 	第九の波濤	草場道輝		375	連載		
2023 	17	21 	十勝ひとりぼっち農園	横山裕二		398	連載		
2023 	18	1 	古見さんは、コミュ症です。	オダトモヒト		20	連載	C	
2023 	18	2 	葬送のフリーレン	アベツカサ	山田鐘人	39	連載		
2023 	18	3 	MAJOR 2nd	満田拓也		57	連載		
2023 	18	4 	よふかしうのうた	コトヤマ		73	連載		
2023 	18	5 	MAO	高橋留美子		89	連載		
2023 	18	6 	龍と苺	柳本光晴		107	連載		
2023 	18	7 	帝乃三姉妹は案外、チョロい	ひらかわあや		125	連載		
2023 	18	8 	ラストカルテ―法獣医学者 当麻健匠の記憶―	浅山わかび		143	連載		
2023 	18	9 	レッドブルー	波切敦		163	連載		
2023 	18	10 	不殺の勇者	木村れい		181	読み切り	C	
2023 	18	11 	君と悪いことがしたい	由田果		217	連載		
2023 	18	12 	白山さんと三田さん	くさかべゆうへい		235	連載		
2023 	18	13 	あおざくら 防衛大学校物語	二階堂ヒカル		253	連載		
2023 	18	14 	シブヤニアファミリー	久米田康治		271	連載		
2023 	18	15 	朱月事変	壱原ちぐさ		279	連載	C	
2023 	18	16 	トニカクカワイイ	畑健二郎		301	連載		
2023 	18	17 	君は008	松江名俊		313	連載		
2023 	18	18 	九龍城でもう一度	藤田三司		335	連載		
2023 	18	19 	GOLDEN SPIRAL	福地翼		357	連載		
2023 	18	20 	ビグネス参式	勝郎		379	連載		
2023 	18	21 	第九の波濤	草場道輝		397	連載		
2023 	18	22 	十勝ひとりぼっち農園	横山裕二		426	連載		
2023 	19	1 	トニカクカワイイ	畑健二郎		8	連載	C	
2023 	19	2 	葬送のフリーレン	アベツカサ	山田鐘人	31	連載		
2023 	19	3 	帝乃三姉妹は案外、チョロい	ひらかわあや		47	連載		
2023 	19	4 	龍と苺	柳本光晴		65	連載		
2023 	19	5 	ラストカルテ―法獣医学者 当麻健匠の記憶―	浅山わかび		83	連載		
2023 	19	6 	MAO	高橋留美子		101	連載		
2023 	19	7 	君と悪いことがしたい	由田果		119	連載		
2023 	19	8 	古見さんは、コミュ症です。	オダトモヒト		141	連載		
2023 	19	9 	ポニテに揺れる	豊林サカネ		159	読み切り	C	
2023 	19	10 	舞妓さんちのまかないさん	小山愛子		201	連載		
2023 	19	11 	朱月事変	壱原ちぐさ		221	連載		
2023 	19	12 	魔王城でおやすみ	熊之股鍵次		229	連載		
2023 	19	13 	あおざくら 防衛大学校物語	二階堂ヒカル		239	連載		
2023 	19	14 	白山さんと三田さん	くさかべゆうへい		257	連載		
2023 	19	15 	ビグネス参式	勝郎		279	連載		
2023 	19	16 	君は008	松江名俊		301	連載		
2023 	19	17 	GOLDEN SPIRAL	福地翼		325	連載		移籍
2023 	19	18 	この漫画のヒロインは守崎あまねです。	ねこぐち		345	連載		
2023 	19	19 	第九の波濤	草場道輝		361	連載		
2023 	19	20 	九龍城でもう一度	藤田三司		381	連載		
2023 	19	21 	十勝ひとりぼっち農園	横山裕二		404	連載		
2023 	20	1 	タタリ	彌		15	連載	C	新連載
2023 	20	2 	名探偵コナン	青山剛昌		61	連載		
2023 	20	3 	MAO	高橋留美子		77	連載		
2023 	20	4 	MAJOR 2nd	満田拓也		95	連載		
2023 	20	5 	龍と苺	柳本光晴		111	連載		
2023 	20	6 	トニカクカワイイ	畑健二郎		129	連載		
2023 	20	7 	君と悪いことがしたい	由田果		147	連載	C	
2023 	20	8 	よふかしうのうた	コトヤマ		167	連載		
