年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2023 	02-03	11	EDENS ZERO	真島ヒロ		179	連載		
2023 	02-03	12	東京卍リベンジャーズ　番外編	和久井健		199	連載		
2023 	02-03	13	カッコウの許嫁	吉河美希		215	連載		
2023 	02-03	14	シャングリラ・フロンティア	不二涼介	硬梨菜	235	連載		
2023 	02-03	15	黒岩メダカに私の可愛いが通じない	久世蘭		253	連載		
2023 	02-03	16	ブルーロック	ノ村優介	金城宗幸	269	連載		
2023 	02-03	17	甘神さんちの縁結び	内藤マーシー		289	連載		
2023 	02-03	18	青のミブロ	安田剛士		309	連載		
2023 	02-03	19	彼女、お借りします	宮島礼吏		329	連載		
2023 	02-03	20	カノジョも彼女	ヒロユキ		351	連載		
2023 	02-03	21	赤羽骨子のボディガード	丹月正光		365	連載		
2023 	02-03	22	はじめの一歩	森川ジョージ		385	連載		
2023 	02-03	23	映画でも撮ってろ。	吉村健太郎		395	読切り		
2023 	02-03	24	女神のカフェテラス	瀬尾公治		403	連載		
2023 	02-03	25	無二の一撃	内藤光太郎		421	連載		
2023 	02-03	26	戦隊大失格	春場ねぎ		445	連載		
2023 	02-03	27	都合よく女の子の服だけ絶妙に溶かす酸性雨が降る町	澤田コウ		467	連載		
2023 	02-03	28	BADDIES!	奥山哲也		475	出張掲載	C	
2023 	04-05	1	シャングリラ・フロンティア	不二涼介	硬梨菜	3	連載	C	
2023 	04-05	2	彼女、お借りします	宮島礼吏		29	連載		
2023 	04-05	3	化物語	大暮維人	西尾維新	55	連載		
2023 	04-05	4	青のミブロ	安田剛士		75	連載		
2023 	04-05	5	よわよわ先生	福地カミオ		95	連載		
2023 	04-05	6	はじめの一歩	森川ジョージ		109	連載		
2023 	04-05	7	きらぼしお嬢様の求婚	英貴		129	連載		
2023 	04-05	8	ブルーロック	ノ村優介	金城宗幸	139	連載		
2023 	04-05	9	北沢くんはAクラス	夢乃狸	門馬司	159	連載		
2023 	04-05	10	カッコウの許嫁	吉河美希		177	連載		
2023 	04-05	11	東京卍リベンジャーズ　番外編	和久井健		197	連載		
2023 	04-05	12	カナンさまはあくまでチョロい	nonco		213	連載		
2023 	04-05	13	黙示録の四騎士	鈴木央		221	連載		
2023 	04-05	14	女神のカフェテラス	瀬尾公治		241	連載		
2023 	04-05	15	それでも歩は寄せてくる	山本崇一朗		259	連載		
2023 	04-05	16	EDENS ZERO	真島ヒロ		267	連載		
2023 	04-05	17	ガチアクタ	裏那圭		287	連載		
2023 	04-05	18	カノジョも彼女	ヒロユキ		309	連載		
2023 	04-05	19	赤羽骨子のボディガード	丹月正光		323	連載		
2023 	04-05	20	甘神さんちの縁結び	内藤マーシー		343	連載		
2023 	04-05	21	アトワイトゲーム	新川直司		363	連載		
2023 	04-05	22	黒岩メダカに私の可愛いが通じない	久世蘭		381	連載		
2023 	04-05	23	生徒会にも穴はある！	むちまろ		395	連載		
2023 	04-05	24	戦隊大失格	春場ねぎ		403	連載		
2023 	04-05	25	無二の一撃	内藤光太郎		421	連載		
2023 	04-05	26	日向さん、星野です。	うおやま		441	連載		
2023 	06	1	彼女、お借りします	宮島礼吏		5	連載	C	
2023 	06	2	ガチアクタ	裏那圭		27	連載		
2023 	06	3	北沢くんはAクラス	夢乃狸		47	連載		
2023 	06	4	赤羽骨子のボディガード	丹月正光		71	連載	C	
2023 	06	5	ブルーロック	ノ村優介	金城宗幸	93	連載		
2023 	06	6	はじめの一歩	森川ジョージ		115	連載		
2023 	06	7	よわよわ先生	福地カミオ		133	連載		
2023 	06	8	黙示録の四騎士	鈴木央		149	連載		
2023 	06	9	カナンさまはあくまでチョロい	nonco		169	連載	C	
2023 	06	10	生徒会にも穴はある！	むちまろ		185	連載		
2023 	06	11	EDENS ZERO	真島ヒロ		193	連載		
2023 	06	12	甘神さんちの縁結び	内藤マーシー		213	連載		
2023 	06	13	東京卍リベンジャーズ　番外編	和久井健		233	連載		
2023 	06	14	青のミブロ	安田剛士		249	連載		
2023 	06	15	カッコウの許嫁	吉河美希		269	連載		
2023 	06	16	きらぼしお嬢様の求婚	英貴		289	連載		
2023 	06	17	シャングリラ・フロンティア	不二涼介	硬梨菜	299	連載		
2023 	06	18	女神のカフェテラス	瀬尾公治		317	連載		
2023 	06	19	アトワイトゲーム	新川直司		335	連載		
2023 	06	20	日向さん、星野です。	うおやま		353	連載		
2023 	06	21	カノジョも彼女	ヒロユキ		363	連載		
2023 	06	22	無二の一撃	内藤光太郎		377	連載		最終回
2023 	06	23	それでも歩は寄せてくる	山本崇一朗		397	連載		
2023 	06	24	黒岩メダカに私の可愛いが通じない	久世蘭		405	連載		
2023 	06	25	戦隊大失格	春場ねぎ		419	連載		
2023 	06	26	アオバノバスケ	学慶人		439	出張掲載	C	
2023 	07	1	デッドアカウント	渡辺静		3	連載	C	新連載
2023 	07	2	東京卍リベンジャーズ　番外編	和久井健		73	連載		最終回	
2023 	07	3	ブルーロック	ノ村優介	金城宗幸	91	連載		
2023 	07	4	生徒会にも穴はある！	むちまろ		111	連載		
2023 	07	5	シャングリラ・フロンティア	不二涼介	硬梨菜	119	連載		
2023 	07	6	カッコウの許嫁	吉河美希		137	連載		
2023 	07	7	赤羽骨子のボディガード	丹月正光		157	連載		
2023 	07	8	よわよわ先生	福地カミオ		177	連載		
2023 	07	9	EDENS ZERO	真島ヒロ		191	連載		
2023 	07	10	彼女、お借りします	宮島礼吏		211	連載		
2023 	07	11	北沢くんはAクラス	夢乃狸		231	連載		
2023 	07	12	カノジョも彼女	ヒロユキ		249	連載		
2023 	07	13	青のミブロ	安田剛士		265	連載		
2023 	07	14	きらぼしお嬢様の求婚	英貴		285	連載		
2023 	07	15	甘神さんちの縁結び	内藤マーシー		297	連載		
2023 	07	16	ガチアクタ	裏那圭		317	連載		
2023 	07	17	カナンさまはあくまでチョロい	nonco		337	連載		
2023 	07	18	女神のカフェテラス	瀬尾公治		345	連載		
2023 	07	19	アトワイトゲーム	新川直司		363	連載		
2023 	07	20	それでも歩は寄せてくる	山本崇一朗		381	連載		
2023 	07	21	はじめの一歩	森川ジョージ		389	連載		
2023 	07	22	黒岩メダカに私の可愛いが通じない	久世蘭		407	連載		
2023 	07	23	日向さん、星野です。	うおやま		421	連載		
2023 	07	24	先制攻撃	内場悠月		431	読み切り		
2023	08	1	甘神さんちの縁結び	内藤マーシー		4	連載	C	
2023	08	2	シャングリラ・フロンティア	不二涼介	硬梨菜	27	連載		
2023	08	3	女神のカフェテラス	瀬尾公治		45	連載		
2023	08	4	それでも歩は寄せてくる	山本崇一朗		63	連載		
2023	08	5	不滅のあなたへ	大今良時		71	連載	C	新章開始
2023	08	6	EDENS ZERO	真島ヒロ		85	連載		
2023	08	7	化物語	大暮維人	西尾維新	105	連載		
2023	08	8	日向さん、星野です。	うおやま		127	連載		
2023	08	9	黙示録の四騎士	鈴木央		137	連載	C	
2023	08	10	デッドアカウント	渡辺静		159	連載		
2023	08	11	よわよわ先生	福地カミオ		211	連載		
2023	08	12	北沢くんはAクラス	夢乃狸		225	連載		
2023	08	13	彼女、お借りします	宮島礼吏		243	連載		
2023	08	14	ブルーロック	ノ村優介	金城宗幸	267	連載		
2023	08	15	きらぼしお嬢様の求婚	英貴		287	連載		
2023	08	16	アトワイトゲーム	新川直司		297	連載		
2023	08	17	カノジョも彼女	ヒロユキ		315	連載		
2023	08	18	赤羽骨子のボディガード	丹月正光		331	連載		
2023	08	19	生徒会にも穴はある！	むちまろ		351	連載		
2023	08	20	青のミブロ	安田剛士		359	連載		
2023	08	21	黒岩メダカに私の可愛いが通じない	久世蘭		379	連載		
2023	08	22	ガチアクタ	裏那圭		393	連載		
2023	08	23	戦隊大失格	春場ねぎ		413	連載		
2023	08	24	カナンさまはあくまでチョロい	nonco		431	連載		
2023	09	1	カッコウの許嫁	吉河美希		4	連載	C	
2023	09	2	ブルーロック	ノ村優介	金城宗幸	27	連載		
2023	09	3	彼女、お借りします	宮島礼吏		51	連載		
2023	09	4	よわよわ先生	福地カミオ		71	連載	C	
2023	09	5	化物語	大暮維人	西尾維新	87	連載		
2023	09	6	北沢くんはAクラス	夢乃狸		109	連載		
2023	09	7	日向さん、星野です。	うおやま		127	連載		
2023	09	8	デッドアカウント	渡辺静		137	連載		
